,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
0,1732824723-1,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Vossegatselaan 11
             
                3583 RN Utrecht",https://www.funda.nl/detail/huur/utrecht/huis-vossegatselaan-11/43789317/,Vossegatselaan 11,Schildersbuurt,,2.0,2295.0,€ 2.295 per maand (geen servicekosten),,4 weken,,,"Eengezinswoning, tussenwoning",Bestaande bouw,1914.0,,,,,,372.0,3.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3583 RN,Utrecht,2295.0,,398
1,1732824725-2,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Nieuwstraat 68
             
                1441 CN Purmerend",https://www.funda.nl/detail/huur/purmerend/appartement-nieuwstraat-68/43770404/,Nieuwstraat 68,Binnenstad,,2.0,1500.0,€ 1.500 per maand (geen servicekosten),,5 weken,,,,Bestaande bouw,1999.0,,,,,,245.0,3.0,,,,,B,,,,,,,,,,,,,1441 CN,Purmerend,1500.0,,321
2,1732824728-3,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Kwartelstraat 48
             
                3514 EX Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-kwartelstraat-48/43792192/,Kwartelstraat 48,Vogelenbuurt,,3.0,2895.0,€ 2.895 per maand (geen servicekosten),,3 weken,,,,Bestaande bouw,1905.0,,,,,,206.0,4.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3514 EX,Utrecht,2895.0,,398
3,1732824730-4,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Betsy Kaiserhof 4
             
                1624 PK Hoorn (NH)",https://www.funda.nl/detail/huur/hoorn-nh/appartement-betsy-kaiserhof-4/43715391/,Betsy Kaiserhof 4,Venelaankwartier - Buurt 11 00,,2.0,1450.0,€ 1.450 per maand (servicekosten onbekend),,2 weken,,,,Bestaande bouw,2024.0,,,,,,177.0,3.0,,,,,A++++,,,,,,,,,,,,,1624 PK,Hoorn (NH),1450.0,,189
4,1732824732-5,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Oudegracht 67-B
             
                3511 AD Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-oudegracht-67-b/43718803/,Oudegracht 67-B,Wijk C,,1.0,2250.0,€ 2.250 per maand (geen servicekosten),,15 november 2024,,,,Bestaande bouw,1450.0,,,,,,251.0,2.0,,,,,Niet beschikbaar,,,,,,,,,,,,,3511 AD,Utrecht,2250.0,,398
5,1732824735-6,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Hartingstraat 278
             
                3511 HV Utrecht",https://www.funda.nl/detail/huur/utrecht/appartement-hartingstraat-278/43710823/,Hartingstraat 278,Hooch Boulandt,,2.0,2095.0,€ 2.095 per maand (geen servicekosten),,18 november 2024,,,,Bestaande bouw,1995.0,,,,,,205.0,3.0,,,,,C,,,,,,,,,,,,,3511 HV,Utrecht,2095.0,,398
6,1732824737-7,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Holysingel 584
             
                3136 LM Vlaardingen",https://www.funda.nl/detail/huur/vlaardingen/appartement-holysingel-584/43721766/,Holysingel 584,Statenbuurt,,,850.0,€ 850 per maand (servicekosten onbekend),,26 november 2024,,,,Bestaande bouw,1970.0,,,,,,70.0,,,,,,C,,,,,,,,,,,,,3136 LM,Vlaardingen,850.0,,415
7,1732824740-8,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Weerwal 16-B
             
                1441 AL Purmerend",https://www.funda.nl/detail/huur/purmerend/appartement-weerwal-16-b/43703579/,Weerwal 16-B,Binnenstad,,1.0,925.0,"€ 925 per maand (exclusief servicekosten à € 15,00 /mnd)",,2 weken,,,,Bestaande bouw,1850.0,,,,,,97.0,2.0,,,,,A,,,,,,,,,,,,,1441 AL,Purmerend,925.0,,321
8,1732824742-9,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Stuvesande 130
             
                4532 MJ Terneuzen",https://www.funda.nl/detail/huur/terneuzen/appartement-stuvesande-130/43633408/,Stuvesande 130,Noordpolder,,1.0,1029.0,"€ 1.029 per maand (exclusief servicekosten à € 128,51 /mnd)",,2 maanden,,,,Bestaande bouw,1993.0,,,,,,175.0,2.0,,,,,C,,,,,,,,,,,,,4532 MJ,Terneuzen,1029.0,,384
9,1732824744-10,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=286,"Van Baerlestraat 15-2
             
                1071 AM Amsterdam",https://www.funda.nl/detail/huur/amsterdam/appartement-van-baerlestraat-15-2/43773805/,Van Baerlestraat 15-2,P.C. Hooftbuurt,,2.0,2950.0,€ 2.950 per maand (geen servicekosten),,5 weken,,,,Bestaande bouw,1875.0,,,,,,200.0,3.0,,,,,A,,,,,,,,,,,,,1071 AM,Amsterdam,2950.0,,17
